artist_album,year,cluster
Duke Ellington In A Mellotone,1940,17
Duke Ellington Sophisticated Lady,1940,17
Duke Ellington Black Brown and Beige,1943,0
Coleman Hawkins Rainbow Mist,1944,17
Mary Lou Williams Zodiac Suite,1945,0
Lennie Tristano Crosscurrents,1949,8
Duke Ellington Liberian Suite,1949,17
Lee Konitz Subconscious-Lee,1949,8
Bob Wilber Jazz Band,1949,0
Miles Davis Birth of the Cool,1950,10
Stan Kenton Presents,1950,0
Ralph Sutton Ralph Sutton,1950,0
Lennie Tristano Wow,1950,8
Stan Getz Quartets,1950,10
Stan Kenton City of Glass,1951,0
Oscar Peterson 1951,1951,23
Shorty Rogers Modern Sounds,1951,10
Gerry Mulligan Mulligan Quartet,1952,8
Duke Ellington Piano Reflections,1953,17
Ben Webster King Of The Tenors,1953,0
Modern Jazz Quartet Django,1953,2
Shorty Rogers Cool And Crazy,1953,17
Jay Jay Johnson Four Trombones,1953,0
Sarah Vaughan Sarah Vaughan,1954,0
Chet Baker Sextet,1954,10
Herbie Nichols The Third World,1955,6
Ahmad Jamal Poinciana,1955,0
Erroll Garner Concert by the Sea,1955,8
George Shearing Spell,1955,0
Horace Silver Horace Silver and the Jazz Messengers,1955,6
Lennie Tristano Lennie Tristano,1955,10
Oscar Peterson Al Zardis,1955,0
Frank Morgan Frank Morgan,1955,0
Herbie Nichols Herbie Nichols Trio,1955,0
Frank Sinatra Songs for Young Lovers,1955,17
Charles Mingus Pithecanthropus Erectus ,1956,2
Modern Jazz Quartet Fontessa,1956,23
Thelonious Monk Brilliant Corners,1956,6
Sonny Rollins Saxophone Colossus,1956,23
George Russell Jazz Workshop,1956,18
Lennie Tristano Manhattan Studio/ New York Improvisations,1956,4
Max Roach Plus Four,1956,0
John Lewis Grand Encounter,1956,8
Horace Silver Six Pieces of Silver ,1956,0
Kenny Burrell All Night Long,1956,0
Lucky Thompson Tricotism,1956,0
Phineas Newborn Piano Artistry,1956,0
Miles Davis Round About Midnight,1956,6
Zoot Sims Tonite's Music Today,1956,8
Mel Torme` Touch,1956,0
Quincy Jones This Is How I Feel About Jazz,1956,17
Stan Kenton Cuban Fire,1956,0
Jimmy Giuffre The Jimmy Giuffre Clarinet,1956,0
Jimmy Smith A New Star A New Sound,1956,23
Kenny Burrell All Day Long,1956,6
Charles Mingus Tijuana Moods,1957,2
Art Blakey Orgy In Rhythm,1957,23
Yusef Lateef Jazz Mood,1957,6
John Coltrane Blue Train,1957,6
John Lewis Piano,1957,10
Milt Jackson Soul Brothers,1957,10
Miles Davis Miles Ahead,1957,6
Ben Webster Soulville,1957,0
Sonny Rollins Way Out West,1957,6
Ben Webster Tenor Giants,1957,0
Art Pepper Meets the Rhythm Section,1957,23
Art Taylor Wailers,1957,6
Max Roach Jazz in 3/4 time,1957,0
Jay Jay Johnson Blue Trombone,1957,6
Hank Mobley Quintet,1957,6
Herbie Mann Flute Souffle,1957,0
